,docId,subject,relation,object
88,4TS7-8D50-TX12-N155-00000-00.txt,you,could get into,secondary market
89,4TS7-8D50-TX12-N155-00000-00.txt,you,could get into,market
90,4TS7-8D50-TX12-N155-00000-00.txt,It,used,to if were breathing
91,4TS7-8D50-TX12-N155-00000-00.txt,you,be,breathing
92,4TS7-8D50-TX12-N155-00000-00.txt,local banks,sell off,them
93,4TS7-8D50-TX12-N155-00000-00.txt,banks,sell off,them
94,4TS7-8D50-TX12-N155-00000-00.txt,local banks,would originate,loans
95,4TS7-8D50-TX12-N155-00000-00.txt,banks,would originate,loans
96,4TS7-8D50-TX12-N155-00000-00.txt,Financial institutions,would guarantee,pools
97,4TS7-8D50-TX12-N155-00000-00.txt,institutions,would guarantee,pools
98,4TS7-8D50-TX12-N155-00000-00.txt,it,continue,to restrictive for period of time
99,4TS7-8D50-TX12-N155-00000-00.txt,it,continue,to restrictive for period
100,4TS7-8D50-TX12-N155-00000-00.txt,it,'s going,continue
101,4TS7-8D50-TX12-N155-00000-00.txt,Blachford,said,he expects
102,4TS7-8D50-TX12-N155-00000-00.txt,it,continue,restrictive
103,4TS7-8D50-TX12-N155-00000-00.txt,it,continue,restrictive for period
104,4TS7-8D50-TX12-N155-00000-00.txt,Blachford,said,although he expects
105,4TS7-8D50-TX12-N155-00000-00.txt,it,continue,restrictive for period of time
106,4TS7-8D50-TX12-N155-00000-00.txt,it,continue,to restrictive
107,4TS7-8D50-TX12-N155-00000-00.txt,You,can get,loans
108,4TS7-8D50-TX12-N155-00000-00.txt,they,taken initiative in,meantime
109,4TS7-8D50-TX12-N155-00000-00.txt,banks,as best taken,initiative
110,4TS7-8D50-TX12-N155-00000-00.txt,local banks,best taken,initiative
111,4TS7-8D50-TX12-N155-00000-00.txt,banks,best taken,initiative
112,4TS7-8D50-TX12-N155-00000-00.txt,they,as best taken,initiative
113,4TS7-8D50-TX12-N155-00000-00.txt,they,banks such,Liberty
114,4TS7-8D50-TX12-N155-00000-00.txt,banks,as best taken initiative in,meantime
115,4TS7-8D50-TX12-N155-00000-00.txt,banks,taken initiative in,meantime
116,4TS7-8D50-TX12-N155-00000-00.txt,local banks,taken,initiative
117,4TS7-8D50-TX12-N155-00000-00.txt,initiative,underwrite loans,themselves
118,4TS7-8D50-TX12-N155-00000-00.txt,they,as best taken initiative in,meantime
119,4TS7-8D50-TX12-N155-00000-00.txt,they,taken,initiative
120,4TS7-8D50-TX12-N155-00000-00.txt,local banks,best taken initiative in,meantime
121,4TS7-8D50-TX12-N155-00000-00.txt,they,best taken initiative in,meantime
122,4TS7-8D50-TX12-N155-00000-00.txt,local banks,as best taken initiative in,meantime
123,4TS7-8D50-TX12-N155-00000-00.txt,they,local banks such,Liberty
124,4TS7-8D50-TX12-N155-00000-00.txt,local banks,taken initiative in,meantime
125,4TS7-8D50-TX12-N155-00000-00.txt,local banks,as best taken,initiative
126,4TS7-8D50-TX12-N155-00000-00.txt,they,best taken,initiative
127,4TS7-8D50-TX12-N155-00000-00.txt,banks,taken,initiative
128,4TS7-8D50-TX12-N155-00000-00.txt,banks,best taken initiative in,meantime
129,4TS7-8D50-TX12-N155-00000-00.txt,more,subscribe to,newspaper
130,4TS7-8D50-TX12-N155-00000-00.txt,Ave.,is,Milwaukee
131,4SD2-N1S0-TX2Y-F19G-00000-00.txt,IPO,provides glimmer amid,forest of bearish results
132,4SD2-N1S0-TX2Y-F19G-00000-00.txt,IPO,provides glimmer amid,forest
133,4SD2-N1S0-TX2Y-F19G-00000-00.txt,forecasts,dominating,media industry
134,4SD2-N1S0-TX2Y-F19G-00000-00.txt,IPO,provides glimmer amid,forest of fiscal results
135,4SD2-N1S0-TX2Y-F19G-00000-00.txt,IPO,provides glimmer amid,forest of bearish fiscal results
136,4SD2-N1S0-TX2Y-F19G-00000-00.txt,forecasts,dominating,international media industry
137,4SD2-N1S0-TX2Y-F19G-00000-00.txt,IPO,provides glimmer amid,forest of results
138,4SD2-N1S0-TX2Y-F19G-00000-00.txt,pessimistic forecasts,dominating,international media industry
139,4SD2-N1S0-TX2Y-F19G-00000-00.txt,IPO,provides,glimmer of hope
140,4SD2-N1S0-TX2Y-F19G-00000-00.txt,pessimistic forecasts,dominating,media industry
141,4SD2-N1S0-TX2Y-F19G-00000-00.txt,IPO,provides,glimmer
142,4SD2-N1S0-TX2Y-F19G-00000-00.txt,biggest IPO,is in,Polish history
143,4SD2-N1S0-TX2Y-F19G-00000-00.txt,Poland 's TV market,has proved,resilient to global economic downturn
144,4SD2-N1S0-TX2Y-F19G-00000-00.txt,forecasts,predicting,continued double digit growth.Pay TV subscribers
145,4SD2-N1S0-TX2Y-F19G-00000-00.txt,Poland 's TV market,has proved,resilient
146,4SD2-N1S0-TX2Y-F19G-00000-00.txt,TV ad spending,expanded at,clip
147,4SD2-N1S0-TX2Y-F19G-00000-00.txt,Poland 's TV market,has proved,resilient to downturn
148,4SD2-N1S0-TX2Y-F19G-00000-00.txt,forecasts,predicting,continued digit growth.Pay TV subscribers
149,4SD2-N1S0-TX2Y-F19G-00000-00.txt,forecasts,predicting,double digit growth.Pay TV subscribers
150,4SD2-N1S0-TX2Y-F19G-00000-00.txt,forecasts,predicting,digit growth.Pay TV subscribers
151,4SD2-N1S0-TX2Y-F19G-00000-00.txt,Poland 's TV market,has proved,resilient to economic downturn
152,4SD2-N1S0-TX2Y-F19G-00000-00.txt,TV ad spending,expanded at,similar clip
153,4SD2-N1S0-TX2Y-F19G-00000-00.txt,Poland 's TV market,has proved,resilient to global downturn
154,4SD2-N1S0-TX2Y-F19G-00000-00.txt,Poland,has,TV market
155,4SD2-N1S0-TX2Y-F19G-00000-00.txt,Polsat,bringing,its total
156,4SD2-N1S0-TX2Y-F19G-00000-00.txt,Polsat,added at_time,year
157,4SD2-N1S0-TX2Y-F19G-00000-00.txt,Polsat,added at_time,last year
158,4SD2-N1S0-TX2Y-F19G-00000-00.txt,N.,package 's,Cyfrowy Polsat
159,4SD2-N1S0-TX2Y-F19G-00000-00.txt,Compared offerings,to N. is,Cyfrowy Polsat 's starting package
160,4SD2-N1S0-TX2Y-F19G-00000-00.txt,month,point for,its Polish competitors
161,4SD2-N1S0-TX2Y-F19G-00000-00.txt,Polsat,has,basic pay package
162,4SD2-N1S0-TX2Y-F19G-00000-00.txt,ITI Group,'s N. is,starting package
163,4SD2-N1S0-TX2Y-F19G-00000-00.txt,ITI Group,has,N. Compared to offerings from two other Polish satellite platforms
164,4SD2-N1S0-TX2Y-F19G-00000-00.txt,Andrew Katolo,is at,Screen Digest
165,4SD2-N1S0-TX2Y-F19G-00000-00.txt,float,interest in,market
166,4SD2-N1S0-TX2Y-F19G-00000-00.txt,float,spur,interest in Polish market
167,4SD2-N1S0-TX2Y-F19G-00000-00.txt,float,interest in,Polish market
168,4SD2-N1S0-TX2Y-F19G-00000-00.txt,interest,is in,Polish market
169,4SD2-N1S0-TX2Y-F19G-00000-00.txt,float,further spur,interest
170,4SD2-N1S0-TX2Y-F19G-00000-00.txt,float,spur,interest in market
171,4SD2-N1S0-TX2Y-F19G-00000-00.txt,float,spur,interest
172,4SD2-N1S0-TX2Y-F19G-00000-00.txt,float,further spur,interest in market
173,4SD2-N1S0-TX2Y-F19G-00000-00.txt,float,further spur,interest in Polish market
174,4SD2-N1S0-TX2Y-F19G-00000-00.txt,Billionaire Zygmunt Solorz Zak,has flirted with,international media conglomerates
175,4SD2-N1S0-TX2Y-F19G-00000-00.txt,65 % stake,is in,Cyfrowy
176,4SD2-N1S0-TX2Y-F19G-00000-00.txt,Billionaire Zygmunt Solorz Zak,has flirted with,media conglomerates
177,4SD2-N1S0-TX2Y-F19G-00000-00.txt,Billionaire Zygmunt Solorz Zak,has flirted in,past
178,4SD2-N1S0-TX2Y-F19G-00000-00.txt,Michal Maliszewski,is of,Polish Institute
179,4SD2-N1S0-TX2Y-F19G-00000-00.txt,Polish Institute,is in,Leipzig
180,4SD2-N1S0-TX2Y-F19G-00000-00.txt,television,follow,suit
181,4SD2-N1S0-TX2Y-F19G-00000-00.txt,It,seems,inevitable
182,4SD2-N1S0-TX2Y-F19G-00000-00.txt,float,will speed up,process
183,4SD2-N1S0-TX2Y-F19G-00000-00.txt,Mimi Turner,reported from,London
184,4TD4-V4M0-TW87-N162-00000-00.txt,Capital One bank branch,is in,art gallery with exposed brick
185,4TD4-V4M0-TW87-N162-00000-00.txt,Capital One bank branch,is in,Tribeca
186,4TD4-V4M0-TW87-N162-00000-00.txt,Capital One bank branch,is in,art gallery
187,4TD4-V4M0-TW87-N162-00000-00.txt,old art gallery,is with,exposed brick
188,4TD4-V4M0-TW87-N162-00000-00.txt,Capital One bank branch,is in,art gallery with brick
189,4TD4-V4M0-TW87-N162-00000-00.txt,Capital One bank branch,is in,old art gallery with brick
190,4TD4-V4M0-TW87-N162-00000-00.txt,Capital One bank branch,is in,old art gallery with exposed brick
191,4TD4-V4M0-TW87-N162-00000-00.txt,Capital One bank branch,is in,old art gallery
192,4TD4-V4M0-TW87-N162-00000-00.txt,branch,is old,brick
193,4TD4-V4M0-TW87-N162-00000-00.txt,Square,is in,Union
194,4TD4-V4M0-TW87-N162-00000-00.txt,branch,features,pictures from farmer 's market
195,4TD4-V4M0-TW87-N162-00000-00.txt,branch,is in,Square
196,4TD4-V4M0-TW87-N162-00000-00.txt,farmer,from,market
197,4TD4-V4M0-TW87-N162-00000-00.txt,branch,features,pictures
198,4TD4-V4M0-TW87-N162-00000-00.txt,branch,features,pictures from nearby farmer 's market
199,4TD4-V4M0-TW87-N162-00000-00.txt,one,is in,Chelsea
200,4TD4-V4M0-TW87-N162-00000-00.txt,one,has,patterned chairs.The design touches
201,4TD4-V4M0-TW87-N162-00000-00.txt,one,has,chairs.The design touches
202,4TD4-V4M0-TW87-N162-00000-00.txt,one,has,zebra patterned chairs.The design touches
203,4TD4-V4M0-TW87-N162-00000-00.txt,company,bought as,part
204,4TD4-V4M0-TW87-N162-00000-00.txt,Richard Fairbank,is into,chief executive
205,4TD4-V4M0-TW87-N162-00000-00.txt,nation,of,great banks
206,4TD4-V4M0-TW87-N162-00000-00.txt,journey,hardly been free,problem
207,4TD4-V4M0-TW87-N162-00000-00.txt,others,say,strategy
208,4TD4-V4M0-TW87-N162-00000-00.txt,journey,buffer,company
209,4TD4-V4M0-TW87-N162-00000-00.txt,journey,been free,problem
210,4TD4-V4M0-TW87-N162-00000-00.txt,meltdown,is in,credit markets.But
211,4TD4-V4M0-TW87-N162-00000-00.txt,Fairbank,say,strategy
212,4TD4-V4M0-TW87-N162-00000-00.txt,downturn,is in,mortgage business
213,4TD4-V4M0-TW87-N162-00000-00.txt,Capital One,has,stock
214,4TD4-V4M0-TW87-N162-00000-00.txt,Capital One,mesh,its culture
215,4TD4-V4M0-TW87-N162-00000-00.txt,Hibernia,are,by contrast anchored deep in personal relationships
216,4TD4-V4M0-TW87-N162-00000-00.txt,Hibernia,are,by contrast anchored
217,4TD4-V4M0-TW87-N162-00000-00.txt,Hibernia,are,by contrast anchored deep in their geography
218,4TD4-V4M0-TW87-N162-00000-00.txt,Hibernia,are,by contrast anchored deep in their geography in relationships forged between bankers
219,4TD4-V4M0-TW87-N162-00000-00.txt,Hibernia,are,by contrast anchored deep in their geography in personal relationships
220,4TD4-V4M0-TW87-N162-00000-00.txt,her bank,is,used
221,4TD4-V4M0-TW87-N162-00000-00.txt,Hibernia,are,by contrast anchored deep in relationships forged
222,4TD4-V4M0-TW87-N162-00000-00.txt,Hibernia,are,by contrast anchored deep in relationships forged between bankers
223,4TD4-V4M0-TW87-N162-00000-00.txt,Hibernia,are,by contrast anchored deep in their geography in personal relationships forged between bankers
224,4TD4-V4M0-TW87-N162-00000-00.txt,her bank,is used,dealing
225,4TD4-V4M0-TW87-N162-00000-00.txt,her bank,is used,to dealing with customers
226,4TD4-V4M0-TW87-N162-00000-00.txt,Hibernia,are,by contrast anchored deep in their geography in relationships forged
227,4TD4-V4M0-TW87-N162-00000-00.txt,Hibernia,are,by contrast anchored deep in their geography in relationships
228,4TD4-V4M0-TW87-N162-00000-00.txt,her bank,is used,to dealing
229,4TD4-V4M0-TW87-N162-00000-00.txt,Hibernia,are,by contrast anchored deep in personal relationships forged between bankers
230,4TD4-V4M0-TW87-N162-00000-00.txt,Hibernia,are,by contrast anchored deep in their geography in personal relationships forged
231,4TD4-V4M0-TW87-N162-00000-00.txt,Hibernia,are,by contrast anchored deep in relationships
232,4TD4-V4M0-TW87-N162-00000-00.txt,Hibernia,are,by contrast anchored deep in personal relationships forged
233,4TD4-V4M0-TW87-N162-00000-00.txt,her bank,dealing with,customers
234,4TD4-V4M0-TW87-N162-00000-00.txt,Carolyn Drexel,is,executive
235,4TD4-V4M0-TW87-N162-00000-00.txt,her bank,is used,dealing with customers
236,4TD4-V4M0-TW87-N162-00000-00.txt,Hibernia,are,by contrast anchored deep
237,4TD4-V4M0-TW87-N162-00000-00.txt,difference,has produced,tensions
238,4TD4-V4M0-TW87-N162-00000-00.txt,difference,is in,cultures
239,4TD4-V4M0-TW87-N162-00000-00.txt,head,resigned at_time,summer
240,4TD4-V4M0-TW87-N162-00000-00.txt,head,resigned ahead at_time,summer
241,4TD4-V4M0-TW87-N162-00000-00.txt,Capital One,of,banking division
242,4TD4-V4M0-TW87-N162-00000-00.txt,head,resigned at_time,last summer
243,4TD4-V4M0-TW87-N162-00000-00.txt,head,resigned ahead at_time,last summer
244,4TD4-V4M0-TW87-N162-00000-00.txt,Island,is,Long
245,4TD4-V4M0-TW87-N162-00000-00.txt,North Fork,on,board
246,4TD4-V4M0-TW87-N162-00000-00.txt,success,been enhanced,if North Fork management had stayed little longer
247,4TD4-V4M0-TW87-N162-00000-00.txt,ongoing success,been enhanced,if North Fork management had stayed in place little longer
248,4TD4-V4M0-TW87-N162-00000-00.txt,ongoing success,is in,probably banking portion
249,4TD4-V4M0-TW87-N162-00000-00.txt,ongoing success,been enhanced,North Fork management had stayed in place
250,4TD4-V4M0-TW87-N162-00000-00.txt,success,been enhanced,North Fork management had stayed little longer
251,4TD4-V4M0-TW87-N162-00000-00.txt,ongoing success,been enhanced,if North Fork management had stayed in place
252,4TD4-V4M0-TW87-N162-00000-00.txt,success,been enhanced,if North Fork management had stayed in place little longer
253,4TD4-V4M0-TW87-N162-00000-00.txt,ongoing success,been enhanced,North Fork management had stayed little longer
254,4TD4-V4M0-TW87-N162-00000-00.txt,ongoing success,been enhanced,North Fork management had stayed
255,4TD4-V4M0-TW87-N162-00000-00.txt,ongoing success,been enhanced,if North Fork management had stayed little longer
256,4TD4-V4M0-TW87-N162-00000-00.txt,North Fork management,had stayed little longer in,place
257,4TD4-V4M0-TW87-N162-00000-00.txt,ongoing success,been,enhanced
258,4TD4-V4M0-TW87-N162-00000-00.txt,North Fork management,had stayed in,place
259,4TD4-V4M0-TW87-N162-00000-00.txt,success,been enhanced,North Fork management had stayed
260,4TD4-V4M0-TW87-N162-00000-00.txt,ongoing success,been enhanced,North Fork management had stayed in place little longer
261,4TD4-V4M0-TW87-N162-00000-00.txt,success,been,enhanced
262,4TD4-V4M0-TW87-N162-00000-00.txt,success,been enhanced,North Fork management had stayed in place little longer
263,4TD4-V4M0-TW87-N162-00000-00.txt,success,been enhanced,North Fork management had stayed in place
264,4TD4-V4M0-TW87-N162-00000-00.txt,success,been enhanced,if North Fork management had stayed
265,4TD4-V4M0-TW87-N162-00000-00.txt,success,been enhanced,if North Fork management had stayed in place
266,4TD4-V4M0-TW87-N162-00000-00.txt,ongoing success,been enhanced,if North Fork management had stayed
267,4TD4-V4M0-TW87-N162-00000-00.txt,they,understood,area
268,4TD4-V4M0-TW87-N162-00000-00.txt,They,understood banking business at_time,100 percent
269,4TD4-V4M0-TW87-N162-00000-00.txt,deep experience,is in,local banking
270,4TD4-V4M0-TW87-N162-00000-00.txt,company,with,overall system for titles
271,4TD4-V4M0-TW87-N162-00000-00.txt,bank employees,use differences with,public
272,4TD4-V4M0-TW87-N162-00000-00.txt,employees,use,differences
273,4TD4-V4M0-TW87-N162-00000-00.txt,company,opted for,one set
274,4TD4-V4M0-TW87-N162-00000-00.txt,employees,use differences with,public
275,4TD4-V4M0-TW87-N162-00000-00.txt,company,opted for,one set of titles
276,4TD4-V4M0-TW87-N162-00000-00.txt,bank employees,use,differences
277,4TD4-V4M0-TW87-N162-00000-00.txt,Fairbank,said,banks
278,4TD4-V4M0-TW87-N162-00000-00.txt,regional banks bring,is simple through,their local bank
279,4TD4-V4M0-TW87-N162-00000-00.txt,investors,lend,it
280,4TD4-V4M0-TW87-N162-00000-00.txt,Our customers,can have,access
281,4TD4-V4M0-TW87-N162-00000-00.txt,banks,bring to,Capital One
282,4TD4-V4M0-TW87-N162-00000-00.txt,investors,lend,money
283,4TD4-V4M0-TW87-N162-00000-00.txt,banks bring,is simple through,their bank
284,4TD4-V4M0-TW87-N162-00000-00.txt,regional banks bring,is,simple
285,4TD4-V4M0-TW87-N162-00000-00.txt,banks bring,is simple through,their local bank
286,4TD4-V4M0-TW87-N162-00000-00.txt,banks bring,is,simple
287,4TD4-V4M0-TW87-N162-00000-00.txt,regional banks bring,is simple through,their bank
288,4TD4-V4M0-TW87-N162-00000-00.txt,regional banks,bring to,Capital One
289,4TD4-V4M0-TW87-N162-00000-00.txt,banks,gives,Capital One
290,4TD4-V4M0-TW87-N162-00000-00.txt,Owning banks,gives,Capital One
291,4TD4-V4M0-TW87-N162-00000-00.txt,local banks,gives,access
292,4TD4-V4M0-TW87-N162-00000-00.txt,Owning local banks,gives,Capital One
293,4TD4-V4M0-TW87-N162-00000-00.txt,Owning local banks,gives,access to deposits
294,4TD4-V4M0-TW87-N162-00000-00.txt,banks,gives,access to deposits
295,4TD4-V4M0-TW87-N162-00000-00.txt,local banks,gives,Capital One
296,4TD4-V4M0-TW87-N162-00000-00.txt,Owning banks,gives,access
297,4TD4-V4M0-TW87-N162-00000-00.txt,banks,gives,access
298,4TD4-V4M0-TW87-N162-00000-00.txt,Owning local banks,gives,access
299,4TD4-V4M0-TW87-N162-00000-00.txt,Owning banks,gives,access to deposits
300,4TD4-V4M0-TW87-N162-00000-00.txt,local banks,gives,access to deposits
301,4TD4-V4M0-TW87-N162-00000-00.txt,It,has had,success with credit cards
302,4TD4-V4M0-TW87-N162-00000-00.txt,It,has had,mixed success with credit cards
303,4TD4-V4M0-TW87-N162-00000-00.txt,It,has had,mixed success
304,4TD4-V4M0-TW87-N162-00000-00.txt,It,has had,mixed success with outside credit cards
305,4TD4-V4M0-TW87-N162-00000-00.txt,It,has had success in,past
306,4TD4-V4M0-TW87-N162-00000-00.txt,It,has had,success
307,4TD4-V4M0-TW87-N162-00000-00.txt,auto loans,is in,1990s
308,4TD4-V4M0-TW87-N162-00000-00.txt,mixed success,is with,outside credit cards
309,4TD4-V4M0-TW87-N162-00000-00.txt,It,has had,success with outside credit cards
310,4TD4-V4M0-TW87-N162-00000-00.txt,analyst,is in,Fairbank 's blood
311,4TD4-V4M0-TW87-N162-00000-00.txt,Fairbank,in,blood
312,4TD4-V4M0-TW87-N162-00000-00.txt,inclination,is in,Fairbank 's blood
313,4TD4-V4M0-TW87-N162-00000-00.txt,Capital One,of,growth
314,4TD4-V4M0-TW87-N162-00000-00.txt,Keefe Bruyette & Wood,is in,New York.Capital Gains
315,4TD4-V4M0-TW87-N162-00000-00.txt,His father,was,Stanford physicist
316,4TD4-V4M0-TW87-N162-00000-00.txt,Fairbank,attended Stanford as,undergraduate
317,4TD4-V4M0-TW87-N162-00000-00.txt,Fairbank,attended,Stanford
318,4TD4-V4M0-TW87-N162-00000-00.txt,they,disregarding,good record of bills.The young consultants
319,4TD4-V4M0-TW87-N162-00000-00.txt,they,disregarding,good record of paying bills.The young consultants
320,4TD4-V4M0-TW87-N162-00000-00.txt,Credit card companies,charged,20 fee
321,4TD4-V4M0-TW87-N162-00000-00.txt,they,disregarding,good record of bills.The consultants
322,4TD4-V4M0-TW87-N162-00000-00.txt,they,disregarding,record of bills.The young consultants
323,4TD4-V4M0-TW87-N162-00000-00.txt,they,disregarding,record of paying bills.The consultants
324,4TD4-V4M0-TW87-N162-00000-00.txt,they,disregarding,record of paying bills.The young consultants
325,4TD4-V4M0-TW87-N162-00000-00.txt,they,disregarding,record
326,4TD4-V4M0-TW87-N162-00000-00.txt,they,new kind of,credit card business
327,4TD4-V4M0-TW87-N162-00000-00.txt,they,kind of,credit card business
328,4TD4-V4M0-TW87-N162-00000-00.txt,they,disregarding,good record of paying bills.The consultants
329,4TD4-V4M0-TW87-N162-00000-00.txt,they,disregarding,record of bills.The consultants
330,4TD4-V4M0-TW87-N162-00000-00.txt,they,disregarding,good record
