news_source,allsides_url,url,bias_rating
Athens Banner-Herald,https://www.allsides.com/node/18339,http://onlineathens.com/,2690
Athens Banner-Herald,https://www.allsides.com/node/18783,http://onlineathens.com/,2690
Atlanta Daily World,https://www.allsides.com/node/18341,http://atlantadailyworld.com/,2690
Atlanta Journal-Constitution,https://www.allsides.com/node/18784,http://www.ajc.com/,72
Atlantic News Telegraph,https://www.allsides.com/node/18472,http://www.swiowanewssource.com/atlantic/,2690
Atlas Network,https://www.allsides.com/node/19482,https://www.atlasnetwork.org/,75
AtlasOne,https://www.allsides.com/node/19450,http://atlasone.org/,74
Augusta Chronicle,https://www.allsides.com/node/18349,http://chronicle.augusta.com/,2690
Aurora Sentine,https://www.allsides.com/node/18320,http://www.aurorasentinel.com/,2690
Austin American-Statesman,https://www.allsides.com/node/31944,http://www.mystatesman.com/,72
Axios,https://www.allsides.com/node/80573,https://www.axios.com/,73
AZ Central,https://www.allsides.com/node/93856,https://www.azcentral.com/,73
AZO Cleantech,https://www.allsides.com/node/24087,http://www.azocleantech.com/,2690
Babylon Bee,https://www.allsides.com/node/99668,https://babylonbee.com/,2690
Bakersfield Californian,https://www.allsides.com/node/68758,http://www.bakersfield.com/,2690
Ballotpedia,https://www.allsides.com/node/30904,http://ballotpedia.org/,73
Baptist News Global,https://www.allsides.com/node/28684,https://baptistnews.com/,2690
Barnstable Patriot,https://www.allsides.com/node/25323,http://www.barnstablepatriot.com/,73
Barren County Progress,https://www.allsides.com/node/18601,http://www.bgdailynews.com/marketplace/barren-county-progress-the/business_39077295.html,2690
Bastrop Daily Enterprise,https://www.allsides.com/node/18177,http://www.bastropenterprise.com/,2690
Batesville Daily Guard,https://www.allsides.com/node/18666,http://guardonline.com/,2690
Battle Creek Enquirer,https://www.allsides.com/node/18979,http://www.battlecreekenquirer.com/,2690
Baxter Bulletin,https://www.allsides.com/node/18667,http://www.baxterbulletin.com/,2690
Bay City Democrat,https://www.allsides.com/node/18980,http://bclegalnews.com/,2690
Bay City Times,https://www.allsides.com/node/18982,http://bclegalnews.com/,2690
BBC News,https://www.allsides.com/node/11928,http://www.bbc.com/,73
Bearing Drift,https://www.allsides.com/node/11607,http://www.bearingdrift.com,75
Beauregard Daily News,https://www.allsides.com/node/18180,http://www.beauregarddailynews.net/,2690
Belleville Enterprise,https://www.allsides.com/node/18984,http://www.associatednewspapers.net/,2690
Belleville View,https://www.allsides.com/node/18985,http://www.heritage.com/belleville_view/,2690
Bent County Democrat,https://www.allsides.com/node/18321,http://www.bcdemocratonline.com/,2690
Benton County Daily Record,https://www.allsides.com/node/18668,http://www.nwaonline.com/metro/bentonville/,2690
Benton Spirit,https://www.allsides.com/node/18986,http://bentonspiritnews.com/,2690
Benzie County Record Patriot,https://www.allsides.com/node/18987,http://recordpatriot.com/,2690
Berrien County Record,https://www.allsides.com/node/18988,http://bcrnews.net/,2690
Berthoud Weekly Surveyor,https://www.allsides.com/node/18322,http://www.berthoudsurveyor.com/,2690
Beth Ballentine,https://www.allsides.com/node/32276,,73
Beth Ballentine,https://www.allsides.com/node/32276,http://freetothinkblog.com/,73
Betsy DeVos,https://www.allsides.com/node/99498,https://en.wikipedia.org/wiki/Betsy_DeVos,75
Between the Lines,https://www.allsides.com/node/18989,http://pridesource.com/,2690
Big Rapids Pioneer,https://www.allsides.com/node/18991,http://bigrapidsnews.com/,2690
Bill Cassidy,https://www.allsides.com/node/20640,https://billcassidy.com/elect-a-real-conservative/?kme=google_search_ad&gclid=CIii-I3vmMECFaUF7Aod9FIAgg#/form/amount,75
Bipartisan Policy Center,https://www.allsides.com/node/85978,bipartisanpolicy.org,2690
Birmingham Eccentric,https://www.allsides.com/node/18992,http://www.hometownlife.com/section/NEWS02,2690
Birmingham- Bloomfield Eagle,https://www.allsides.com/node/18995,http://www.candgnews.com/About/Eagle,2690
Black Mountain News,https://www.allsides.com/node/18207,http://www.blackmountainnews.com/,2690
Blissfield Advance,https://www.allsides.com/node/18997,http://blissfieldadvance.com/,2690
Bloomberg,https://www.allsides.com/node/873,http://www.bloomberg.com/,73
Blue Ridge Times-News,https://www.allsides.com/node/18261,http://www.blueridgenow.com/,2690
Blue Virginia,https://www.allsides.com/node/11608,http://www.bluevirginia.us,71
Blytheville Courier-News,https://www.allsides.com/node/18669,http://www.couriernews.net/,2690
Boing Boing,https://www.allsides.com/node/22279,http://boingboing.net/,71
Boone News Republicab,https://www.allsides.com/node/18473,http://newsrepublican.com/,2690
Bossier Press Tribune,https://www.allsides.com/node/18179,http://bossierpress.com/,2690
Boulder County Business Report,https://www.allsides.com/node/18323,http://www.bcbr.com/,2690
Boulder Daily Camera,https://www.allsides.com/node/18307,http://www.dailycamera.com/,2690
Boulder Weekly,https://www.allsides.com/node/18325,http://www.boulderweekly.com/,2690
Bowling Green Daily News,https://www.allsides.com/node/31442,http://www.bgdailynews.com/,72
Braver Angels,https://www.allsides.com/node/96106,https://braverangels.org/our,2707
Breitbart News,https://www.allsides.com/node/11344,http://www.breitbart.com/,75
Brent Bozell,https://www.allsides.com/node/19025,,75
Brent Bozell,https://www.allsides.com/node/19025,http://www.mrc.org/bozells-column,75
Brighton Banner,https://www.allsides.com/node/18331,http://brightonbanner.com/,2690
Brock Press,https://www.allsides.com/node/31947,http://www.brockpress.com/,2690
Brookings Institution,https://www.allsides.com/node/214,https://www.brookings.edu/,73
Brooklyn Exponent,https://www.allsides.com/node/18999,http://www.theexponent.com/,2690
Broomfield Enterprise,https://www.allsides.com/node/18329,http://www.broomfieldenterprise.com/,2690
Brown City Banner,https://www.allsides.com/node/19001,http://browncitybanner.mihomepaper.com/,2690
Bruce Braley,https://www.allsides.com/node/20678,www.brucebraley.com,71
Brunswick News,https://www.allsides.com/node/18353,http://www.thebrunswicknews.com/,2690
Brush News Tribune,https://www.allsides.com/node/18328,http://www.brushnewstribune.com/,2690
Bucks County Courier Times,https://www.allsides.com/node/32000,http://www.buckscountycouriertimes.com/,2690
Burlington Record,https://www.allsides.com/node/18326,http://www.burlington-record.com/,2690
Burton View,https://www.allsides.com/node/19002,http://burtonview.mihomepaper.com/,2690
Burton View,https://www.allsides.com/node/19060,http://burtonview.mihomepaper.com/,2690
Business Insider,https://www.allsides.com/node/6702,http://www.businessinsider.com/,73
Business Lexington,https://www.allsides.com/node/18602,http://bizlex.com,2690
Business Update,https://www.allsides.com/node/19004,http://www.businessupdate.com/,2690
Business Wire,https://www.allsides.com/node/24672,http://www.businesswire.com/portal/site/home/news/,2690
Bustle,https://www.allsides.com/node/33124,http://www.bustle.com/,72
BuzzFeed News,https://www.allsides.com/node/9193,http://buzzfeednews.com,71
C&G Newspapers,https://www.allsides.com/node/98166,https://www.candgnews.com/,2690
C-SPAN,https://www.allsides.com/node/21774,http://www.c-span.org/,73
Cadillac News,https://www.allsides.com/node/19040,http://www.cadillacnews.com/,2690
CalMatters,https://www.allsides.com/node/30216,http://calmatters.org/,73
CalWatchdog,https://www.allsides.com/node/5988,http://www.calwatchdog.com/,73
Canon City Daily Record,https://www.allsides.com/node/18314,http://www.canoncitydailyrecord.com/,2690
Canton Eagle,https://www.allsides.com/node/19042,http://www.associatednewspapers.net/,2690
Canton Observer,https://www.allsides.com/node/19044,http://www.hometownlife.com/section/NEWS03,2690
Canyon Courier,https://www.allsides.com/node/18340,http://www.canyoncourier.com/,2690
Capital Gazette,https://www.allsides.com/node/71579,http://www.capitalgazette.com/,2690
Capital Research Center,https://www.allsides.com/node/102459,https://capitalresearch.org/,74
Care2,https://www.allsides.com/node/28766,http://www.care2.com,71
Carnegie Endowment for International Peace,https://www.allsides.com/node/225,http://carnegieendowment.org,73
Carriage Towne News,https://www.allsides.com/node/18742,http://www.carriagetownenews.com/,2690
Carroll Daily Times Herald,https://www.allsides.com/node/18474,http://www.carrollspaper.com/,2690
Cass City Chronicle,https://www.allsides.com/node/19047,http://ccchronicle.net/,2690
Cassopolis Vigilant,https://www.allsides.com/node/19048,http://www.leaderpub.com/category/news/cassopolis-news/,2690
Cato Institute (blog),https://www.allsides.com/node/231,http://www.cato.org,74
CBN,https://www.allsides.com/node/83,http://www.cbn.com/,75
CBS News,https://www.allsides.com/node/860,http://www.cbsnews.com/,72
CDP,https://www.allsides.com/node/102481,https://www.cdp.net/en/,2690
Cedar Rapids Gazette,https://www.allsides.com/node/18486,http://www.thegazette.com/,2690
Cedar Springs Post,https://www.allsides.com/node/19049,http://cedarspringspost.com/,2690
Center For American Progress,https://www.allsides.com/node/2837,http://www.americanprogress.org,72
Center for Media & Democracy PR Watch,https://www.allsides.com/node/3944,http://www.prwatch.org,72
Center for Public Integrity,https://www.allsides.com/node/5970,http://www.publicintegrity.org/,72
Center on Budget and Policy Priorities,https://www.allsides.com/node/2845,http://www.cbpp.org,71
Central Michigan Life,https://www.allsides.com/node/18977,http://www.cm-life.com/,2690
Centre View,https://www.allsides.com/node/11609,http://www.centre-view.com,72
Charles City Press,https://www.allsides.com/node/18475,http://www.charlescitypress.com/,2690
Charles Lane,https://www.allsides.com/node/97188,,73
Charleston Gazette,https://www.allsides.com/node/18759,http://www.wvgazette.com/,2690
Charleston Gazette-Mail,https://www.allsides.com/node/18758,http://www.charlestondailymail.com/,2690
Charlevoix Courier,https://www.allsides.com/node/19050,http://www.petoskeynews.com/charlevoix/,2690
Cheboygan Daily Tribune,https://www.allsides.com/node/19052,http://www.cheboygannews.com/,2690
Check Your Fact,https://www.allsides.com/node/99620,https://checkyourfact.com/,74
Chelsea Standard,https://www.allsides.com/node/19053,http://heritage.com/chelsea_standard/,2690
Cherokee Chronicle Times,https://www.allsides.com/node/18476,http://www.chronicletimes.com/,2690
Cherokee Skout,https://www.allsides.com/node/18214,http://www.cherokeescout.com/,2690
Chesaning Tri-County Citizen,https://www.allsides.com/node/19054,http://tricountycitizen.mihomepaper.com/,2690
Chicago Booth Initiative on Global Markets,https://www.allsides.com/node/74583,http://www.igmchicago.org/,2707
Chicago Sun-Times,https://www.allsides.com/node/70093,http://chicago.suntimes.com/,72
Chicago Tribune,https://www.allsides.com/node/3483,http://www.chicagotribune.com/,73
Children’s Defense Fund,https://www.allsides.com/node/245,http://www.childrensdefense.org,71
Christian Science Monitor,https://www.allsides.com/node/3893,http://www.csmonitor.com/,73
Christianity Today,https://www.allsides.com/node/98580,http://www.christianitytoday.com/,74
City Journal,https://www.allsides.com/node/83062,http://www.city-journal.org,75
City Lab,https://www.allsides.com/node/71220,http://www.citylab.com,2690
Civil.Ge,https://www.allsides.com/node/32002,http://www.civil.ge/eng/,2690
CivilPolitics.org,https://www.allsides.com/node/20515,http://www.civilpolitics.org/,73
Clare County Review,https://www.allsides.com/node/19055,http://www.clarecountyreview.com/,2690
Clarkston News,https://www.allsides.com/node/19056,http://www.clarkstonnews.com/,2690
Clay County Progress,https://www.allsides.com/node/18215,http://www.claycountyprogress.com/,2690
Clinton Hearald,https://www.allsides.com/node/18477,http://www.clintonherald.com/,2690
Clio Messenger,https://www.allsides.com/node/19057,http://www.mlive.com/clio/,2690
CNBC,https://www.allsides.com/node/69852,http://cnbc.com,73
CNET,https://www.allsides.com/node/71739,http://www.cnet.com,73
CNN (Web News),https://www.allsides.com/node/82,http://www.cnn.com,72
CNN - Editorial,https://www.allsides.com/node/80613,https://www.cnn.com/opinions,71
CNSNews.com,https://www.allsides.com/node/4723,http://cnsnews.com/,75
Coffee Party USA,https://www.allsides.com/node/97807,https://coffeepartyusa.com/,73
Coldwater Daily Reporter,https://www.allsides.com/node/19058,http://www.thedailyreporter.com/,2690
Collegiate Times,https://www.allsides.com/node/80994,http://www.collegiatetimes.com,2690
Colorado Springs Business Journal,https://www.allsides.com/node/18337,http://csbj.com/,2690
Colorado Springs Gazette,https://www.allsides.com/node/18306,http://gazette.com/,2690
Colorado Springs Independent,https://www.allsides.com/node/18336,http://www.csindy.com/,2690
Columbia Journalism Review,https://www.allsides.com/node/31441,http://www.cjr.org/index.php,73
Commentary Magazine,https://www.allsides.com/node/83590,https://www.commentarymagazine.com/,75
Common Ground Committee,https://www.allsides.com/node/101789,https://commongroundcommittee.org/,73
Commonwealth Journal,https://www.allsides.com/node/18604,www.somerset-kentucky.com/,2690
Concord Monitor,https://www.allsides.com/node/18744,http://www.concordmonitor.com/,73
Conservative HQ,https://www.allsides.com/node/74004,http://www.conservativehq.com/,75
Conway Daily Sun,https://www.allsides.com/node/18745,http://www.conwaydailysun.com/,2690
Cook Report,https://www.allsides.com/node/69373,http://cookpolitical.com,73
Cordele Dispatch,https://www.allsides.com/node/18354,http://www.cordeledispatch.com/,2690
Cordele Dispatch,https://www.allsides.com/node/18788,http://www.cordeledispatch.com/,2690
Cortez Journal,https://www.allsides.com/node/18334,http://www.cortezjournal.com/,2690
Cory Garden,https://www.allsides.com/node/20581,http://corygardnerforsenate.com/,75
Cosmopolitan,https://www.allsides.com/node/72434,http://www.cosmopolitan.com,2690
Council  Bluffs Daily Nonpareil,https://www.allsides.com/node/18478,http://www.nonpareilonline.com/,2690
Council on Foreign Relations,https://www.allsides.com/node/72957,http://www.crf.org,71
Countable,https://www.allsides.com/node/91139,https://www.countable.us,73
Counter Currents,https://www.allsides.com/node/71577,http://www.countercurrents.org/,72
Counter Pointing,https://www.allsides.com/node/70628,www.counterpointing.com,2707
Counterpointing,https://www.allsides.com/node/71007,http://www.counterpointing.com/,2707
CovidTracking.com,https://www.allsides.com/node/102052,https://covidtracking.com/data/,2690
Covington News,https://www.allsides.com/node/18355,http://www.covnews.com/,2690
Craig Daily Press,https://www.allsides.com/node/18333,http://www.craigdailypress.com/,2690
Crain's Detroit Business,https://www.allsides.com/node/19070,http://www.crainsdetroit.com/,2690
Creative Loafing - Atlanta,https://www.allsides.com/node/18357,http://clatl.com/,2690
Creston News Advertister,https://www.allsides.com/node/18480,http://www.crestonnewsadvertiser.com/,2690
CrowdPAC,https://www.allsides.com/node/33168,https://www.crowdpac.com/,73
CU Independent,https://www.allsides.com/node/33338,http://cuindependent.com/,73
Current Affairs,https://www.allsides.com/node/86079,https://www.currentaffairs.org,71
DAG Blog,https://www.allsides.com/node/24692,www.dagblog.com,2690
Daily Beast,https://www.allsides.com/node/7544,http://www.thedailybeast.com/,71
Daily Cardinal,https://www.allsides.com/node/69792,http://www.dailycardinal.com/,73
Daily Kos,https://www.allsides.com/node/73719,http://www.dailykos.com,71
Daily Mail,https://www.allsides.com/node/74629,http://dailymail.co.uk,75
Daily Mining Gazette,https://www.allsides.com/node/19115,http://homerindex.com/,2690
Daily Northwestern,https://www.allsides.com/node/31957,http://dailynorthwestern.com/,72
Daily Press,https://www.allsides.com/node/11610,http://www.dailypress.com,74
Daily Progress,https://www.allsides.com/node/11611,http://www.dailyprogress.com,73
Daily Reveille,https://www.allsides.com/node/31942,http://www.lsureveille.com/daily/,2690
Daily Siftings Herald,https://www.allsides.com/node/18673,http://www.thedailycitizen.com/,2690
Daily Sitka Sentinal,https://www.allsides.com/node/18469,http://www.sitkasentinel.com/,2690
Daily Targum,https://www.allsides.com/node/68578,http://www.dailytargum.com/,72
Dalton Daily Citizen,https://www.allsides.com/node/18358,http://www.daltondailycitizen.com/,2690
Damon Linker,https://www.allsides.com/node/16361,,72
Damon Linker,https://www.allsides.com/node/16361,http://theweek.com/authors/damon-linker,72
Dan Sullivan`,https://www.allsides.com/node/20458,http://www.sullivan2014.com/,75
David Brooks,https://www.allsides.com/node/21248,,74
David Brooks,https://www.allsides.com/node/21248,http://topics.nytimes.com/top/opinion/editorialsandoped/oped/columnists/davidbrooks/index.html,74
David French,https://www.allsides.com/node/99705,,74
David Ignatius,https://www.allsides.com/node/18460,,73
David Ignatius,https://www.allsides.com/node/18460,http://www.washingtonpost.com/pb/david-ignatius,73
David Perdue,https://www.allsides.com/node/20599,https://perduesenate.com/,75
Davidson Flagstaff,https://www.allsides.com/node/19061,,2690
Davidson Flagstaff,https://www.allsides.com/node/19061,http://www.mlive.com/davison/,2690
Davie County Enterprise Record,https://www.allsides.com/node/18223,http://www.ourdavie.com/,2690
Davison Index,https://www.allsides.com/node/19062,http://davisonindex.mihomepaper.com/,2690
Dearborn Press and Guide,https://www.allsides.com/node/19065,http://www.pressandguide.com/,2690
Dearborn Times-Herald,https://www.allsides.com/node/19066,http://downriversundaytimes.com/,2690
Debate.org,https://www.allsides.com/node/103045,https://www.debate.org/,2707
Delta County Indpendent,https://www.allsides.com/node/18352,http://www.deltacountyindependent.com/new/index.php,2690
Delta-Waverly Community News,https://www.allsides.com/node/18931,http://www.lansingstatejournal.com/section/deltawaverly,2690
Democracy Now,https://www.allsides.com/node/11409,http://www.democracynow.org/,71
Dennis Prager,https://www.allsides.com/node/97985,,75
Denver Business Journal,https://www.allsides.com/node/18351,http://www.bizjournals.com/denver/,2690
Denver Westword,https://www.allsides.com/node/18427,http://www.westword.com/,2690
Derry News,https://www.allsides.com/node/18747,http://www.derrynews.com/,2690
Des Moines Register,https://www.allsides.com/node/18482,http://desmoinesregister.com/,73
Deseret News,https://www.allsides.com/node/23692,http://www.deseretnews.com/,74
Detroit Free Press,https://www.allsides.com/node/19071,http://www.freep.com/,72
Detroit Jewish News,https://www.allsides.com/node/19072,http://www.thejewishnews.com/,2690
Detroit Legal News,https://www.allsides.com/node/19073,http://www.legalnews.com/,2690
Detroit Metro Times,https://www.allsides.com/node/19074,http://www.metrotimes.com/,2690
Detroit News,https://www.allsides.com/node/19077,http://www.detroitnews.com/,73
Detroit Telegram,https://www.allsides.com/node/19078,http://telegramnews.net/,2690
DeWitt Bath Review,https://www.allsides.com/node/19211,http://www.lansingstatejournal.com/section/DEWITTBATH,2690
Dexter Leader,https://www.allsides.com/node/19091,http://heritage.com/dexter_leader/,2690
Diamond and Silk,https://www.allsides.com/node/98242,,75
Diplomatic Courier,https://www.allsides.com/node/74698,http://www.diplomaticourier.com/,73
Donaldsonville Chief,https://www.allsides.com/node/18181,http://www.donaldsonvillechief.com/,2690
Donalsonville News,https://www.allsides.com/node/18838,http://www.donalsonvillenews.com/65329/2277/1/home,2690
Douglas County Business Journal,https://www.allsides.com/node/18350,http://www.douglascountybusiness.com/,2690
Dowagiac Daily News,https://www.allsides.com/node/19093,http://www.leaderpub.com/,2690
Dr. Abdul El-Sayed,https://www.allsides.com/node/101719,,71
Drudge Report,https://www.allsides.com/node/861,http://www.drudgereport.com/,74
Duke Chronicle,https://www.allsides.com/node/26881,http://www.dukechronicle.com/,73
Duluth News Tribune,https://www.allsides.com/node/33302,http://www.duluthnewstribune.com/,2690
Dundee Independent News,https://www.allsides.com/node/19095,http://dundeeonline.com/,2690
E J Dionne,https://www.allsides.com/node/32142,,71
E J Dionne,https://www.allsides.com/node/32142,https://www.washingtonpost.com/people/ej-dionne-jr,71
Eagle Times,https://www.allsides.com/node/18748,http://www.derrynews.com/,2690
Early County News,https://www.allsides.com/node/18839,http://www.earlycountynews.com/,2690
Eastern Echo,https://www.allsides.com/node/19075,http://www.easternecho.com/,2690
Eastern Echo,https://www.allsides.com/node/19176,http://www.easternecho.com/,2690
Eaton Rapids Daily News,https://www.allsides.com/node/19051,http://www.lansingstatejournal.com/section/eatonrapids,2690
Economic Policy Institute,https://www.allsides.com/node/72365,http://www.epi.org/,71
Ed Rogers,https://www.allsides.com/node/74632,,75
Ed Rogers,https://www.allsides.com/node/74632,https://www.washingtonpost.com/people/ed-rogers/?utm_term=.e5e4475c1a40,75
Education Week,https://www.allsides.com/node/72609,http://edweek.org,2690
EdVotes.org,https://www.allsides.com/node/3123,http://educationvotes.nea.org,71
Edwardsburg Argus,https://www.allsides.com/node/19079,http://www.leaderpub.com/category/news/edwardsburg/,2690
El Paso County Advertiser and News,https://www.allsides.com/node/18347,http://www.epcan.com/,2690
El Vocero Hispano,https://www.allsides.com/node/19082,http://www.elvocerous.com/,2690
Eli Pariser,https://www.allsides.com/node/90059,,71
Elizabeth Warren,https://www.allsides.com/node/28428,https://elizabethwarren.com/,71
Environmental Defense Fund,https://www.allsides.com/node/249,http://www.edf.org,72
Eric Holder,https://www.allsides.com/node/98287,,72
Ermergent,https://www.allsides.com/node/20459,http://www.emergent.info/,2690
Erraticus,https://www.allsides.com/node/102295,https://erraticus.co/,73
Escanaba Daily Press,https://www.allsides.com/node/19084,http://www.dailypress.net/,2690
Estes Park Trail Gazette,https://www.allsides.com/node/18345,http://www.eptrail.com/,73
Estherville Daily News,https://www.allsides.com/node/18483,http://www.esthervilledailynews.com/,2690
Eurek Alert,https://www.allsides.com/node/26875,http://www.eurekalert.org/,73
Examiner.com,https://www.allsides.com/node/3516,http://www.examiner.com/,2690
Fabius Maximus,https://www.allsides.com/node/28676,http://fabiusmaximus.com/,2690
FactCheck.org,https://www.allsides.com/node/2089,http://factcheck.org/,73
FAIR,https://www.allsides.com/node/42838,http://fair.org/,72
Fairbanks News Miner,https://www.allsides.com/node/18463,http://www.newsminer.com/,2690
Fairfield Daily Ledger,https://www.allsides.com/node/18484,http://fairfield-ia.villagesoup.com/index.seam,2690
Falls Church News - Press,https://www.allsides.com/node/11612,http://www.fcnp.com,71
Fannin Sentinel,https://www.allsides.com/node/18840,http://fanninsentinel.com/,2690
Farmers' Advance,https://www.allsides.com/node/19087,http://www.farmersadvance.com/,2690
Farmington Observer,https://www.allsides.com/node/19089,http://www.hometownlife.com/section/NEWS06,2690
Farmington Press,https://www.allsides.com/node/19092,http://www.candgnews.com/About/Farmington,2690
Federation of American Scientists,https://www.allsides.com/node/236,https://fas.org/,72
Fenton Press,https://www.allsides.com/node/19094,http://www.mlive.com/fenton/,2690
Ferris State Torch ,https://www.allsides.com/node/19096,http://fsutorch.com/,2690
First Draft News,https://www.allsides.com/node/101725,https://firstdraftnews.org/,73
Fiscal Times,https://www.allsides.com/node/7786,http://www.thefiscaltimes.com/,74
FiveThirtyEight,https://www.allsides.com/node/19713,http://fivethirtyeight.com/,73
Flushing Observer,https://www.allsides.com/node/19101,http://www.mlive.com/flushing/,2690
Food Democracy Now,https://www.allsides.com/node/12007,http://www.fooddemocracynow.org/blog/,72
Forbes,https://www.allsides.com/node/2824,http://www.forbes.com/,73
Foreign Affairs,https://www.allsides.com/node/77108,https://www.foreignaffairs.com,73
Fort Madison Daily Democrat,https://www.allsides.com/node/18485,http://www.dailydem.com/,2690
Fosters Daily Democrat,https://www.allsides.com/node/18749,http://www.fosters.com/,2690
Fowler Tribune,https://www.allsides.com/node/18342,http://www.fowlertribune.com/,2690
Fox News Latino,https://www.allsides.com/node/3512,http://latino.foxnews.com/index.html,75
Fox News Opinion,https://www.allsides.com/node/81801,http://www.foxnews.com/opinion.html,75
Fox Online News,https://www.allsides.com/node/84,http://www.foxnews.com/,74
Frank Miniter,https://www.allsides.com/node/32153,,75
Frank Miniter,https://www.allsides.com/node/32153,http://frankminiter.com/,75
Frankenmuth News,https://www.allsides.com/node/19104,http://frankenmuthnews.com/,2690
Fraser-Clinton Township Chronicle,https://www.allsides.com/node/19107,http://www.candgnews.com/About/Fraser,2690
Freakonomics,https://www.allsides.com/node/3451,http://freakonomics.com,73
Freedom House,https://www.allsides.com/node/16705,https://freedomhouse.org/,74
Fremont Times Indicator,https://www.allsides.com/node/19109,http://www.timesindicator.com/,2690
FrontPage Magazine,https://www.allsides.com/node/12197,http://frontpagemag.com/,75
FXStreet,https://www.allsides.com/node/72969,https://www.fxstreet.com,2690
Gabrielle Giffords,https://www.allsides.com/node/102335,,72
